,latitud,provincia,altitud,indicativo,nombre,indsinop,longitud,latitud_dd,longitud_dd,codigo_postal
72,281819N,STA. CRUZ DE TENERIFE,990,C415A,CITFAGRO_64_HOYOS,,164820W,28.30527777777778,-165.36666666666667,
73,281400N,STA. CRUZ DE TENERIFE,735,C417J,CITFAGRO_74_CHIO,,164721W,28.233333333333334,-165.20027777777776,
74,281201N,STA. CRUZ DE TENERIFE,700,C418L,CITFAGRO_76_POZO,,164547W,28.200277777777778,-164.90194444444444,
75,281019N,STA. CRUZ DE TENERIFE,1833,C422A,CITFAGRO_94_LOSTOPOS,,163905W,28.171944444444446,-164.5013888888889,
76,280453N,STA. CRUZ DE TENERIFE,130,C419X,ADEJE,,164238W,28.08138888888889,-164.38555555555556,
77,281225N,SANTA CRUZ DE TENERIFE,403,C419L,LOMO DEL BALO,60024,164731W,28.206944444444442,-165.21694444444444,
78,281327N,STA. CRUZ DE TENERIFE,1654,C423R,CITFAGRO_90_PICACHO,,163116W,28.224166666666665,-163.185,
79,280839N,STA. CRUZ DE TENERIFE,1258,C426E,CITFAGRO_13_VILAFLOR,,163741W,28.144166666666667,-164.2336111111111,
80,281301N,STA. CRUZ DE TENERIFE,930,C426R,CITFAGRO_09_HELECHO,,162926W,28.216944444444444,-163.535,
81,281051N,STA. CRUZ DE TENERIFE,418,C428T,ARICO,,162860W,28.180833333333336,-163.43333333333334,
82,280737N,STA. CRUZ DE TENERIFE,880,C426I,CITFAGRO_77_PINAL,,163621W,28.126944444444444,-164.0336111111111,
83,280752N,STA. CRUZ DE TENERIFE,135,C428U,CITFAGRO_01_ARICO,,162821W,28.13111111111111,-163.36694444444444,
84,281830N,SANTA CRUZ DE TENERIFE,2369,C430E,IZAÑA,60010,162959W,28.308333333333334,-163.58583333333334,
85,281935N,STA. CRUZ DE TENERIFE,290,C436I,CITFAGRO_54_TOPONEGRO,,162420W,28.32638888888889,-162.7,
86,280249N,SANTA CRUZ DE TENERIFE,64,C429I,TENERIFE SUR AEROPUERTO,60025,163340W,28.046944444444446,-163.56666666666666,
87,282214N,STA. CRUZ DE TENERIFE,525,C436L,CITFAGRO_96_ARAYA,,162351W,28.370555555555555,-162.5836111111111,
88,282133N,STA. CRUZ DE TENERIFE,463,C438N,CANDELARIA,,162406W,28.359166666666667,-162.66833333333332,
89,281611N,STA. CRUZ DE TENERIFE,500,C437E,CITFAGRO_81_MENA,,162511W,28.26972222222222,-162.85027777777776,
90,283135N,STA. CRUZ DE TENERIFE,868,C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",,161649W,28.52638888888889,-162.06916666666666,
91,281906N,SANTA CRUZ DE TENERIFE,115,C439J,GÜÍMAR,60018,162256W,28.31833333333333,-162.41833333333332,
92,282839N,SANTA CRUZ DE TENERIFE,632,C447A,TENERIFE NORTE AEROPUERTO,60015,161946W,28.4775,-162.56833333333333,
93,283336N,STA. CRUZ DE TENERIFE,305,C449Q,CITFAGRO_97_TAGANANA,,161341W,28.560000000000002,-161.56694444444443,
94,282748N,SANTA CRUZ DE TENERIFE,36,C449C,STA.CRUZ DE TENERIFE,60020,161519W,28.46333333333333,-161.8525,
95,283029N,STA. CRUZ DE TENERIFE,19,C449F,ANAGA ,,161144W,28.508055555555554,-161.23444444444442,
96,282745N,STA. CRUZ DE TENERIFE,136,C448C,CITFAGRO_92_SANTACRUZ,,161624W,28.4625,-162.03444444444443,
97,282341N,STA. CRUZ DE TENERIFE,1744,C453I,CITFAGRO_88_GAITERO,,162600W,28.39472222222222,-163.0,
98,282142N,STA. CRUZ DE TENERIFE,1065,C455M,CITFAGRO_87_AGUAMANSA,,162949W,28.361666666666668,-163.56916666666666,
99,282658N,STA. CRUZ DE TENERIFE,650,C457E,CITFAGRO_67_MATANZA,,162617W,28.449444444444445,-163.0186111111111,
100,282222N,STA. CRUZ DE TENERIFE,551,C456R,CITFAGRO_69_SUERTE,,163231W,28.372777777777777,-163.3836111111111,
101,282714N,STA. CRUZ DE TENERIFE,922,C456E,CITFAGRO_10_RAVELO,,162431W,28.453888888888887,-162.71694444444444,
102,282141N,STA. CRUZ DE TENERIFE,906,C456P,CITFAGRO_70_BENIJO,,163248W,28.36138888888889,-163.40222222222224,
103,282207N,STA. CRUZ DE TENERIFE,595,C458U,CITFAGRO_71_PALOB,,163441W,28.36861111111111,-163.7336111111111,
104,282604N,STA. CRUZ DE TENERIFE,567,C457I,LA VICTORIA DE ACENTEJO,,162716W,28.434444444444445,-163.185,
105,282505N,STA. CRUZ DE TENERIFE,25,C459Z,PUERTO DE LA CRUZ,60012,163254W,28.418055555555558,-163.41777777777776,
106,282947N,STA. CRUZ DE TENERIFE,310,C458A,TACORONTE,,162512W,28.49638888888889,-162.85055555555556,
107,282112N,STA. CRUZ DE TENERIFE,525,C467I,CITFAGRO_73_REDON,,164230W,28.353333333333335,-164.38333333333333,
108,282201N,STA. CRUZ DE TENERIFE,218,C468I,CITFAGRO_98_ELDRAGO,,164320W,28.366944444444446,-164.53333333333333,
109,282021N,STA. CRUZ DE TENERIFE,878,C466O,CITFAGRO_91_CUBO,,164740W,28.339166666666664,-165.23333333333332,
110,282125N,STA. CRUZ DE TENERIFE,450,C468O,CITFAGRO_62_TRIGO,,164805W,28.356944444444444,-165.33472222222224,
111,282223N,STA. CRUZ DE TENERIFE,667,C468X,SAN JUAN DE LA RAMBLA,,163733W,28.373055555555556,-164.2175,
112,275942N,LAS PALMAS,1060,C614H,TEJEDA,60038,153657W,27.995,-154.08527777777778,
113,280025N,LAS PALMAS,1514,C612F,"TEJEDA, CRUZ DE TEJEDA",,153556W,28.006944444444443,-153.91833333333332,
114,275836N,LAS PALMAS,1702,C611E,VEGA DE SAN MATEO,,153502W,27.976666666666667,-153.8338888888889,
115,280003N,LAS PALMAS,10,C619I,LA ALDEA DE SAN NICOLÁS,60027,154850W,28.000833333333333,-155.41666666666666,
116,275536N,LAS PALMAS,1220,C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",,153559W,27.92666666666667,-153.91916666666665,
117,280604N,LAS PALMAS,5,C619X,AGAETE,,154246W,28.101111111111113,-154.40166666666667,
118,275125N,LAS PALMAS,806,C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",,153842W,27.856944444444444,-154.40055555555557,
119,275432N,LAS PALMAS,318,C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",,154612W,27.90888888888889,-155.01722222222224,
120,280004N,LAS PALMAS,13,C619Y,LA ALDEA DE SAN NICOLÁS,60027,154827W,28.00111111111111,-155.3686111111111,
121,274845N,LAS PALMAS,41,C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",,152711W,27.8125,-153.1836111111111,
122,274529N,LAS PALMAS,45,C639M,"MASPALOMAS, C. INSULAR TURISMO ",,153432W,27.758055555555554,-153.71722222222223,
123,274648N,LAS PALMAS,10,C629Q,"MOGÁN, PUERTO RICO",,154240W,27.779999999999998,-154.4,
124,275512N,LAS PALMAS,960,C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",,153427W,27.92,-153.70194444444442,
125,274859N,LAS PALMAS,10,C629X,"MOGÁN, PUERTO",60036,154551W,27.81638888888889,-154.91694444444443,
126,275915N,LAS PALMAS,344,C648N,"TELDE, CENTRO FORESTAL DORAMAS",,152728W,27.9875,-153.20222222222222,
127,275912N,LAS PALMAS,9,C649R,"TELDE, MELENARA",,152240W,27.986666666666668,-152.4,
128,275504N,LAS PALMAS,24,C649I,GRAN CANARIA AEROPUERTO,60030,152343W,27.91777777777778,-152.5675,
129,275409N,LAS PALMAS,306,C648C,AGÜIMES,,152714W,27.9025,-153.18444444444444,
130,280431N,LAS PALMAS,683,C656V,TEROR,,153250W,28.075277777777778,-153.41666666666666,
131,280523N,LAS PALMAS,55,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",60029,152458W,28.08972222222222,-152.75222222222223,
132,280430N,LAS PALMAS,269,C658L,LAS PALMAS DE G.C. (TAFIRA CMT),,152703W,28.075,-153.1675,
133,280441N,LAS PALMAS,269,C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",,152712W,28.078055555555554,-153.1838888888889,
134,280647N,LAS PALMAS,15,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",60032,152517W,28.113055555555558,-152.85194444444443,
135,280830N,LAS PALMAS,86,C669B,ARUCAS,,153024W,28.141666666666666,-153.03444444444443,
136,280356N,LAS PALMAS,900,C665T,VALLESECO,,153356W,28.065555555555555,-153.585,
137,280540N,LAS PALMAS,352,C668V,AGAETE - SUERTE ALTA,,154030W,28.094444444444445,-154.05,
138,274409N,LAS PALMAS,6,C689E,MASPALOMAS,60037,153545W,27.735833333333336,-153.9013888888889,
139,291355N,LAS PALMAS,10,C839I,TEGUISE,,133007W,29.231944444444444,-133.00194444444443,
140,291347N,LAS PALMAS,19,C839X,LA GRACIOSA,60045,133037W,29.22972222222222,-133.05194444444444,
141,274331N,STA. CRUZ DE TENERIFE,713,C917E,"EL PINAR, LA DEHESA",,180654W,27.725277777777777,-181.08444444444444,
142,273955N,STA. CRUZ DE TENERIFE,98,C919K,TACORON-LAPILLAS-TORTUGA,,180107W,27.665277777777778,-180.1686111111111,
143,274308N,STA. CRUZ DE TENERIFE,948,C916Q,"EL PINAR, DEPÓSITO",,175841W,27.718888888888888,-176.40027777777777,
144,274608N,STA. CRUZ DE TENERIFE,1070,C925F,"SAN ANDRÉS, VALVERDE",,175737W,27.76888888888889,-176.2186111111111,
145,274908N,SANTA CRUZ DE TENERIFE,32,C929I,HIERRO AEROPUERTO,60001,175320W,27.81888888888889,-175.53333333333333,
146,274523N,STA. CRUZ DE TENERIFE,20,C939T,"FRONTERA, SABINOSA",,180627W,27.75638888888889,-181.03527777777776,
147,274839N,STA. CRUZ DE TENERIFE,670,C928I,VALVERDE,,175510W,27.810833333333335,-175.85,
148,410842N,TARRAGONA,71,0016A,REUS AEROPUERTO,08175,010949E,41.144999999999996,11.569166666666666,
149,411250N,TARRAGONA,406,0009X,ALFORJA,,005748E,41.21388888888889,6.235555555555556,
150,411735N,TARRAGONA,233,0034X,VALLS,,011539E,41.293055555555554,11.885833333333332,
151,410915N,TARRAGONA,118,0016B,REUS (CENTRE LECTURA),,010632E,41.15416666666667,11.050555555555556,
152,405729N,TARRAGONA,32,0002I,VANDELLÒS  ,08169,005217E,40.95805555555556,5.351944444444444,
153,411949N,BARCELONA,177,0066X,VILAFRANCA DEL PENEDÈS,,014037E,41.33027777777778,14.051944444444445,
154,411438N,BARCELONA,58,0073X,SITGES,,015109E,41.24388888888889,15.169166666666666,
155,412501N,BARCELONA,632,0061X,PONTONS,,013109E,41.41694444444444,13.169166666666666,
156,410726N,TARRAGONA,55,0042Y,TARRAGONA ,,011457E,41.12388888888889,11.751944444444444,
157,411734N,BARCELONA,4,0076,BARCELONA AEROPUERTO,08181,020412E,41.29277777777778,20.683888888888887,
158,420605N,BARCELONA,682,0092X,BERGA,,015127E,42.10138888888889,15.201944444444443,
159,414848N,BARCELONA,742,0120X,MOIÀ,,020543E,41.81333333333333,20.90083333333333,
160,420025N,BARCELONA,700,0114X,PRATS DE LLUÇANÈS,,020136E,42.00694444444444,20.21833333333333,
161,415159N,BARCELONA,361,0106X,BALSARENY,,015221E,41.86638888888889,15.366944444444444,
162,414312N,BARCELONA,291,0149D,MANRESA (LA CULLA),,015025E,41.72,15.034722222222221,
163,413540N,BARCELONA,738,0158O,MONTSERRAT,,015021E,41.59444444444445,15.03361111111111,
164,414312N,BARCELONA,291,0149X,MANRESA,08174,015025E,41.72,15.034722222222221,
165,413540N,BARCELONA,738,0158X,MONISTROL DE MONTSERRAT,,015021E,41.59444444444445,15.03361111111111,
166,413444N,BARCELONA,313,0171X,IGUALADA,08172,013704E,41.57888888888889,14.167777777777777,
167,412429N,BARCELONA,647,0194D,"CORBERA, PUIG D'AGULLES",08179,015306E,41.408055555555556,15.501666666666667,
168,412506N,BARCELONA,408,0200E,"BARCELONA, FABRA",,020727E,41.41833333333333,21.201944444444443,
169,412230N,BARCELONA,11,0201X,"BARCELONA, DRASSANES",,021026E,41.375,21.035,
170,412326N,BARCELONA,26,0201D,"BARCELONA, PORT OLÍMPIC",08180,021200E,41.39055555555556,21.333333333333332,
171,413125N,BARCELONA,146,0229I,SABADELL AEROPUERTO,08192,020611E,41.52361111111111,21.016944444444444,
172,413903N,BARCELONA,40,0255B,SANTA SUSANNA,08188,024149E,41.65083333333333,24.235833333333336,
173,413514N,BARCELONA,74,0252D,ARENYS DE MAR,08186,023224E,41.58722222222222,23.36777777777778,
174,415804N,GIRONA,51,0294B,LA BISBAL (D'EMPORDA 3),,030232E,41.967777777777776,30.383888888888887,
175,421530N,GIRONA,851,0312X,SANT PAU DE SEGÚRIES,,022152E,42.25833333333333,22.250555555555554,
176,421901N,GIRONA,1151,0320I,PLANOLES,,020610E,42.316944444444445,21.016666666666666,
177,413018N,BARCELONA,56,0244X,VILASSAR DE DALT,,022145E,41.505,22.234722222222224,
178,414536N,BARCELONA,936,0260X,FOGARS DE MONTCLÚS,,022552E,41.76,22.91722222222222,
179,413646N,BARCELONA,175,0222X,CALDES DE MONTBUI,,021006E,41.61277777777778,21.001666666666665,
180,414037N,GIRONA,45,0281Y,BLANES,,024818E,41.676944444444445,25.352222222222224,
181,414828N,GIRONA,14,0284X,CASTELL D'ARO,,030151E,41.80777777777777,30.25027777777778,
182,421322N,GIRONA,731,0321,CAMPDEVANOL,,021002E,42.22277777777778,21.000555555555554,
183,421129N,GIRONA,675,0324A,RIPOLL,08118,021146E,42.19138888888889,21.235,
184,415048N,BARCELONA,611,0341,TONA (ESCOLA),,021336E,41.84666666666667,21.551666666666666,
185,420310N,GIRONA,337,0360X,LES PLANES D'HOSTOLES,,023304E,42.05277777777778,23.50111111111111,
186,415049N,BARCELONA,607,0341X,TONA,,021321E,41.846944444444446,21.533611111111114,
187,415534N,BARCELONA,578,0349,SANT JULIÀ  DE VILATORTA,08119,021903E,41.92611111111111,22.500833333333333,
188,415442N,GIRONA,143,0367,GIRONA AEROPUERTO,08184,024548E,41.91166666666666,24.90222222222222,
189,415251N,GIRONA,810,0363X,SANT HILARI,,023048E,41.880833333333335,23.06888888888889,
190,415820N,GIRONA,76,0370E,GIRONA,,024910E,41.97222222222222,25.516666666666666,
191,415848N,GIRONA,95,0370B,"GIRONA, ANTIC INSTITUT",,024931E,41.980000000000004,25.55027777777778,
192,420616N,GIRONA,157,0372C,PORQUERES,08120,024549E,42.10444444444445,24.9025,
193,420314N,GIRONA,1,0385X,L'ESTARTIT,,031205E,42.053888888888885,31.334722222222222,
194,421238N,GIRONA,350,0394X,LA VALL DE BIANYA,,022819E,42.21055555555556,23.352500000000003,
195,422324N,GIRONA,100,0421X,ESPOLLA,,030022E,42.39,30.03388888888889,
196,421329N,GIRONA,2,0411X,CASTELLÓ D'EMPÚRIES,,030535E,42.224722222222226,30.884722222222223,
197,422324N,GIRONA,100,0421E,ESPOLLA 'LES ALBERES',,030022E,42.39,30.03388888888889,
198,422313N,GIRONA,355,0413A,MAÇANET DE CABRENYS,,024520E,42.386944444444445,24.866666666666667,
199,421533N,GIRONA,45,0429X,FIGUERES,,025737E,42.259166666666665,26.21861111111111,
200,431643N,NAVARRA,54,1010X,BERA,,014033W,43.27861111111111,-14.050833333333333,
201,421909N,GIRONA,75,0433D,CABO DE CREUS,08121,031856E,42.31916666666667,32.41833333333333,
202,430809N,NAVARRA,183,1002Y,"BAZTAN, IRURITA",08030,013235W,43.13583333333333,-13.384722222222221,
203,432125N,GIPUZKOA,4,1014,"HONDARRIBIA, MALKARROA",08029,014732W,43.356944444444444,-15.217222222222222,
204,431935N,GIPUZKOA,120,1012P,IRUN,,014748W,43.32638888888889,-15.235555555555557,
205,432125N,GIPUZKOA,4,1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,08029,014732W,43.356944444444444,-15.217222222222222,
206,431250N,GIPUZKOA,165,1021X,"ERRENTERIA, AÑARBE",,015244W,43.21388888888889,-15.401111111111112,
207,431823N,GIPUZKOA,250,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",08027,020228W,43.30638888888888,-20.36888888888889,
208,431244N,NAVARRA,305,1021Y,ARTICUTZA (AUTOMATICA),,014752W,43.21222222222222,-15.250555555555556,
209,430329N,GIPUZKOA,290,1026X,ORDIZIA,,021103W,43.058055555555555,-21.1675,
210,430056N,GIPUZKOA,255,1025A,SEGURA,,021524W,43.01555555555556,-21.86777777777778,
211,430506N,NAVARRA,520,1033X,ARESO,,015703W,43.085,-16.1675,
212,430317N,GIPUZKOA,255,1025X,"BEASAIN, ARRIARAN",,021355W,43.05472222222222,-21.584722222222222,
213,430306N,GIPUZKOA,460,1037X,LEGAZPI,,022014W,43.05166666666666,-22.017777777777777,
214,430328N,ARABA/ALAVA,617,1044X,"ARAMAIO, ETXAGUEN",,023523W,43.05777777777777,-23.8675,
215,431021N,GIPUZKOA,180,1038X,AZPEITIA,,021602W,43.1725,-22.000555555555554,
216,430448N,GIPUZKOA,420,1037Y,ZUMARRAGA,08037,021903W,43.080000000000005,-22.500833333333333,
217,431808N,GIPUZKOA,28,1041A,ZUMAIA,08026,021504W,43.30222222222222,-21.834444444444443,
218,431902N,GIPUZKOA,150,1052A,MUTRIKU,,022350W,43.31722222222223,-22.583333333333332,
219,430818N,GIPUZKOA,470,1049N,ELGETA,,022945W,43.138333333333335,-23.568055555555556,
220,430130N,GIPUZKOA,308,1048X,ARETXABALETA,,022757W,43.025,-23.251944444444444,
221,431233N,GIPUZKOA,119,1050J,ELGOIBAR,08036,022448W,43.20916666666667,-22.735555555555557,
222,432033N,BIZKAIA,45,1056K,FORUA,,024016W,43.3425,-24.01833333333333,
223,432237N,BIZKAIA,12,1055B,LEKEITIO,08024,023037W,43.37694444444445,-23.051944444444445,
224,432230N,BIZKAIA,81,1059X,PUNTA GALEA,08059,030118W,43.375,-30.185555555555556,
225,432714N,BIZKAIA,93,1057B,MATXITXAKO,,024510W,43.45388888888889,-24.85,
226,430301N,ARABA/ALAVA,240,1060X,AMURRIO,,030020W,43.05027777777777,-30.033333333333335,
227,431210N,BIZKAIA,100,1074C,AMOREBIETA-ETXANO,,024222W,43.20277777777778,-24.36722222222222,
228,430547N,BIZKAIA,270,1064L,"OROZKO, IBARRA",,025137W,43.09638888888889,-25.21861111111111,
229,430557N,BIZKAIA,747,1069Y,"ABADIÑO, URKIOLA",,023839W,43.09916666666667,-24.385833333333334,
230,431050N,BIZKAIA,210,1078C,BALMASEDA,,031235W,43.18055555555555,-31.384722222222223,
231,431753N,BIZKAIA,42,1082,BILBAO AEROPUERTO,08025,025423W,43.29805555555556,-25.700833333333332,
232,431212N,BIZKAIA,208,1078I,GÜEÑES,08035,030617W,43.20333333333333,-31.01861111111111,
233,431339N,CANTABRIA,849,1103X,SAN ROQUE DE RIOMIERA,,034316W,43.2275,-34.51833333333333,
234,432348N,CANTABRIA,10,1096X,"BARCENA DE CICERO, TRETO",,032811W,43.39666666666667,-33.35027777777778,
235,431521N,CANTABRIA,80,1089U,RAMALES DE LA VICTORIA,,032815W,43.255833333333335,-33.35138888888889,
